Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
2026-02-01,2026-02-28,Daybreak Breakfast Club (Washington Blvd),2422926,908591,NULL,8,8,0,0.00,0.00,0,0.00,0,0.00,0.00,2.09,6.93,30.63,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,30.53
2026-02-01,2026-02-28,Despicable Wraps,37414343,882513,37414343,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,83.68,16.32,6577,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Despicable Wraps (1219 1st Avenue),2230479,882513,NULL,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,9.22,36.00,98.79,1.21,315,NULL,0,NULL,NULL,0,0,0.00,USD,36.47
2026-02-01,2026-02-28,Despicable Wraps (300 8th Ave),2102745,882513,NULL,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,1.62,27.00,98.21,1.79,345,NULL,0,NULL,NULL,0,0,0.00,USD,26.73
2026-02-01,2026-02-28,Despicable Wraps (Canal St),2548391,882513,NULL,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Devil's Burger Bar (22 4th Ave),33895959,364336,33895959,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Divya's Indian Restaurant,35648739,11100795,35648739,6,1,0,0.00,0.00,5,83.33,2,33.33,0.00,0.00,0.00,98.00,94.14,5.86,1362,NULL,0,NULL,NULL,0,0,0.00,USD,0.00
2026-02-01,2026-02-28,Dosa on Dosa (3301 Preston Rd),24051985,883386,24051985,2,2,0,0.00,0.00,0,0.00,0,0.00,0.00,22.92,16.88,64.50,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,64.40
2026-02-01,2026-02-28,Doughboys Sandwiches (101 Guyon Ave),26292279,903860,26292279,19,19,1,5.26,3.23,0,0.00,0,0.00,0.00,1.40,2.71,54.53,97.89,2.11,852,NULL,1,NULL,NULL,0,0,0.00,USD,44.06
2026-02-01,2026-02-28,Doughboys Sandwiches (105 Avenue A),33973693,903860,33973693,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,98.44,1.56,456,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Doughboys Sandwiches (1174 Chapel St),35492373,903860,35492373,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Doughboys Sandwiches (1268 W 86th St),32923607,903860,32923607,7,7,0,0.00,0.00,0,0.00,0,0.00,0.00,0.61,3.55,40.57,98.49,1.51,268,NULL,0,NULL,NULL,0,0,0.00,USD,40.61
